코스(상품) 이름,빈도수
초격차 패키지 : 한 번에 끝내는 디지털 마케팅 시그니처 플러스,128
초격차 패키지: 15개의 프로젝트 사례로 완성하는 브랜딩,115
"초격차 패키지: GA4 탑재, 2023년 구글 애널리틱스 완전 정복",95
The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,85
"CLASS : 유성민의 GA4, 12시간만에 끝장내기",82
초격차 패키지: 한 번에 끝내는 동화책 제작,52
초격차 패키지 : 무조건 팔리는 SNS콘텐츠 끝장내기,49
The RED : 나 자신과 여행하는 에세이 창작법 by. 이병률,41
"초격차 패키지 : 퍼포먼스 마케팅, 데이터로 완전 정복",37
초격차 패키지 : 9 in 1 직장인 글쓰기 필수 스킬 : 보고서부터 카피라이팅까지,36
The RED : 서미애의 미스터리 장르 소설 창작법,33
올인원 패키지 : 스타트업 마케터로 살아남기 퍼포먼스 마케팅 Kit,30
올인원 패키지 : 7일만에 끝내는 디지털 마케팅 광고집행 실무,29
The RED : 김영하 작가의 내 안의 숨은 이야기를 찾아 쓰는 법,24
The red : 나만의 세계가 담긴 동화 쓰기 BY. 황선미,17
김동원의 저예산 마케팅을 위한 검색 광고 최적화 -SEO/SEM마스터,16
올인원 패키지 : 30개 글감으로 에세이 작가되기 BY.정영욱,16
올인원 패키지 : 7일만에 끝내는 마케팅 데이터 분석과 시각화 실무,15
올인원 패키지 : 인스타를 성장시킨 50명의 성공방정식,13
The RED : 지브리 스튜디오 제작국장에게 듣는 스토리텔링 기획법,12
THE RED : 광고인 박웅현과 크리에이티브,10
CLASS : 프로덕트 고속 성장을 위한 디지털 마케팅 온보딩 클래스,6
"올인원 패키지 : A/B 테스트 탑재, 개인화 마케팅 끝장내기",5
전환율을 높이는 그로스마케팅 by.이하석,5
초격차 패키지 : 한 번에 끝내는 마케팅 취업,4
지금 우리 일상을 공포로 물들이는 웹툰 스토리텔링 by. 주동근,3
